"employees","salary","annual_salary_adjustments","salary_2018","raise"
"Employee 1",48360.2924179286,1913.48728490993,50273.7797028385,TRUE
"Employee 2",46195.0966459699,-13.2024101912975,46181.8942357786,FALSE
"Employee 3",48117.9959885776,7084.20984214172,55202.2058307193,TRUE
"Employee 4",43109.1760843992,-2220.01726506278,40889.1588193364,FALSE
"Employee 5",44711.0865800641,-3975.26918095537,40735.8173991088,FALSE
"Employee 6",41673.3547742479,8007.03418790363,49680.3889621515,TRUE
"Employee 7",47871.2297976017,-3731.46612197161,44139.7636756301,FALSE
"Employee 8",43219.0884300508,9880.45906065963,53099.5474907104,TRUE
"Employee 9",46069.5471987128,-1460.96281823702,44608.5843804758,FALSE
"Employee 10",48197.6962694898,6635.23032795638,54832.9265974462,TRUE
"Employee 11",40364.6806743927,7745.19913364202,48109.8798080347,TRUE
"Employee 12",42248.0428079143,8978.58756943606,51226.6303773504,TRUE
"Employee 13",48115.8480863087,4087.94224145822,52203.7903277669,TRUE
"Employee 14",42340.9516247921,2486.0595818609,44827.011206653,TRUE
"Employee 15",49756.8825772032,156.131403055042,49913.0139802583,TRUE
"Employee 16",43213.4655327536,7289.1246387735,50502.5901715271,TRUE
"Employee 17",47717.6103624515,6337.48892578296,54055.0992882345,TRUE
"Employee 18",47250.2852673642,6548.02653356455,53798.3118009288,TRUE
"Employee 19",43015.9723013639,-685.73517142795,42330.237129936,FALSE
"Employee 20",49973.4927364625,5347.45014389046,55320.942880353,TRUE
"Employee 21",44748.5626279376,-2899.86761636101,41848.6950115766,FALSE
"Employee 22",41341.4635672234,-4486.40109039843,36855.062476825,FALSE
"Employee 23",43144.3104939535,-3841.42050752416,39302.8899864294,FALSE
"Employee 24",43971.9290821813,1272.52246835269,45244.451550534,TRUE
"Employee 25",49225.2039839514,6893.17497075535,56118.3789547067,TRUE
"Employee 26",42955.5201693438,-529.438664671034,42426.0815046728,FALSE
"Employee 27",40710.1954915561,-1054.36060694046,39655.8348846156,FALSE
"Employee 28",47505.2964128554,7507.99264991656,55013.2890627719,TRUE
"Employee 29",48161.5578942001,6822.52212427557,54984.0800184757,TRUE
"Employee 30",49963.3417930454,8343.85478170589,58307.1965747513,TRUE
"Employee 31",42967.1022901312,9002.75325984694,51969.8555499781,TRUE
"Employee 32",44262.6407230273,6090.15693538822,50352.7976584155,TRUE
"Employee 33",49027.4603129365,5048.28600445762,54075.7463173941,TRUE
"Employee 34",46093.3979554102,-4941.9428454712,41151.455109939,FALSE
"Employee 35",46154.7168507241,-3127.02321331017,43027.6936374139,FALSE
"Employee 36",47115.1974308304,6948.19162832573,54063.3890591562,TRUE
"Employee 37",47151.4030359685,-2684.46545931511,44466.9375766534,FALSE
"Employee 38",48299.5573803782,-1654.22599413432,46645.3313862439,FALSE
"Employee 39",42628.6216895096,-2874.15982340463,39754.461866105,FALSE
"Employee 40",41304.1598256677,-979.98418379575,40324.175641872,FALSE
"Employee 41",44290.539775975,750.448511680588,45040.9882876556,TRUE
"Employee 42",43175.3464182839,1113.31694177352,44288.6633600574,TRUE
"Employee 43",43421.7401174828,-2750.14125742018,40671.5988600627,FALSE
"Employee 44",42621.4247546159,9129.75830142386,51751.1830560397,TRUE
"Employee 45",49664.6630275063,2392.06089288928,52056.7239203956,TRUE
"Employee 46",44476.6384037212,-2298.0221756734,42178.6162280478,FALSE
"Employee 47",47736.952137202,8225.91410484165,55962.8662420437,TRUE
"Employee 48",45038.6978150345,6552.38458537497,51591.0824004095,TRUE
"Employee 49",41883.7613845244,1490.55597721599,43374.3173617404,TRUE
"Employee 50",45484.5868633129,1221.45145200193,46706.0383153148,TRUE
"Employee 51",49904.175340198,3040.86438147351,52945.0397216715,TRUE
"Employee 52",46612.5960368663,-743.238118011504,45869.3579188548,FALSE
"Employee 53",41463.7419232167,4693.49754042923,46157.239463646,TRUE
"Employee 54",49396.6969149187,2384.93952318095,51781.6364380997,TRUE
"Employee 55",41715.7299304381,9049.71607844345,50765.4460088816,TRUE
"Employee 56",43170.7277987152,5999.10050397739,49169.8283026926,TRUE
"Employee 57",42183.1893944182,6666.91925842315,48850.1086528413,TRUE
"Employee 58",41358.298540581,-3963.45276152715,37394.8457790539,FALSE
"Employee 59",46505.3244773299,8149.28115461953,54654.6056319494,TRUE
"Employee 60",47261.0469441861,8280.85927176289,55541.906215949,TRUE
"Employee 61",46881.7042931914,-4423.20487229154,42458.4994208999,FALSE
"Employee 62",41591.492195148,2405.46961897053,43996.9618141185,TRUE
"Employee 63",47007.890578825,7945.29582723044,54953.1864060555,TRUE
"Employee 64",47008.8788494468,7241.13915464841,54250.0180040952,TRUE
"Employee 65",48333.1389655359,-3061.12749152817,45272.0114740077,FALSE
"Employee 66",46173.6381449737,-4685.46711024828,41488.1710347254,FALSE
"Employee 67",44361.8539930321,-1326.71962608583,43035.1343669463,FALSE
"Employee 68",42786.8151920848,7906.3527402468,50693.1679323316,TRUE
"Employee 69",45319.8028425686,-2110.86369701661,43208.939145552,FALSE
"Employee 70",47769.4522589445,2810.48824428581,50579.9405032303,TRUE
"Employee 71",46353.7187129259,3040.85747338831,49394.5761863142,TRUE
"Employee 72",43565.1445062831,2678.77745558508,46243.9219618682,TRUE
"Employee 73",40827.7430571616,-1363.70604508556,39464.037012076,FALSE
"Employee 74",42736.1304592341,6321.01598195732,49057.1464411914,TRUE
"Employee 75",45677.7168833651,-783.295131986961,44894.4217513781,FALSE
"Employee 76",40852.8076438233,3410.38512648083,44263.1927703042,TRUE
"Employee 77",48746.919259429,2952.04706024379,51698.9663196728,TRUE
"Employee 78",42044.1166963428,1814.12591366097,43858.2426100038,TRUE
"Employee 79",42734.7177197225,8161.62337781861,50896.3410975412,TRUE
"Employee 80",41765.1996458881,2573.56647634879,44338.7661222368,TRUE
"Employee 81",40385.8590428717,7631.01303949952,48016.8720823713,TRUE
"Employee 82",46325.3747625276,5507.20192608424,51832.5766886119,TRUE
"Employee 83",47714.7798379883,6168.5061850585,53883.2860230468,TRUE
"Employee 84",45228.4793322906,-4867.92592913844,40360.5534031522,FALSE
"Employee 85",47802.8311324306,8361.6745157633,56164.5056481939,TRUE
"Employee 86",43562.5403421,7058.17451234907,50620.714854449,TRUE
"Employee 87",41630.6559741497,-1463.86636886746,40166.7896052822,FALSE
"Employee 88",47939.3256898038,1761.54243177734,49700.8681215812,TRUE
"Employee 89",49763.2278013043,-3744.38775819726,46018.840043107,FALSE
"Employee 90",46511.2872375175,1498.02927160636,48009.3165091239,TRUE
"Employee 91",41157.9099483788,-1638.18811299279,39519.721835386,FALSE
"Employee 92",45181.935923174,5968.51042704657,51150.4463502206,TRUE
"Employee 93",45463.4164692834,720.607074908912,46184.0235441923,TRUE
"Employee 94",48150.6094220094,5381.90988707356,53532.519309083,TRUE
"Employee 95",42519.5342581719,8498.6228204798,51018.1570786517,TRUE
"Employee 96",48268.1317836978,-2638.10489443131,45630.0268892664,FALSE
"Employee 97",44918.2910192758,3607.41434386,48525.7053631358,TRUE
"Employee 98",47687.7312920988,1929.77959522977,49617.5108873285,TRUE
"Employee 99",45996.053526178,5266.45910344087,51262.5126296189,TRUE
"Employee 100",40620.1645941474,4510.49707597122,45130.6616701186,TRUE
